GEOGRAPHY,YEAR,VIOLATIONS,INCIDENTS,RATES
"Eskasoni, Nova Scotia, Royal Canadian Mounted Police, rural [12007]",2010,"Assault, level 1 [1430]",109,3271.31
"Eskasoni, Nova Scotia, Royal Canadian Mounted Police, rural [12007]",2010,Total robbery [160],1,30.01
"Eskasoni, Nova Scotia, Royal Canadian Mounted Police, rural [12007]",2010,Total breaking and entering [210],65,1950.78
"Eskasoni, Nova Scotia, Royal Canadian Mounted Police, rural [12007]",2010,Total theft of motor vehicle [220],5,150.06
"Eskasoni, Nova Scotia, Royal Canadian Mounted Police, rural [12007]",2010,Total impaired driving [910],21,630.25
"Eskasoni, Nova Scotia, Royal Canadian Mounted Police, rural [12007]",2010,Total Drug violations [401],29,870.35
"Eskasoni, Nova Scotia, Royal Canadian Mounted Police, rural [12007]",2010,"Possession, cocaine [4120]",0,0
"Eskasoni, Nova Scotia, Royal Canadian Mounted Police, rural [12007]",2010,"Total, possession, other Controlled Drugs and Substances Act drugs [410]",4,120.05
"Eskasoni, Nova Scotia, Royal Canadian Mounted Police, rural [12007]",2010,"Total cannabis, trafficking, production or distribution (pre-legalization) [420]",5,150.06
"Eskasoni, Nova Scotia, Royal Canadian Mounted Police, rural [12007]",2010,"Total cocaine, trafficking, production or distribution [430]",0,0
"Eskasoni, Nova Scotia, Royal Canadian Mounted Police, rural [12007]",2010,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution [440]",9,270.11
"Clark's Harbour, Nova Scotia, municipal [12008]",2010,Homicide [110],,
"Clark's Harbour, Nova Scotia, municipal [12008]",2010,Attempted murder [1210],,
"Clark's Harbour, Nova Scotia, municipal [12008]",2010,"Sexual assault, level 3, aggravated [1310]",,
"Clark's Harbour, Nova Scotia, municipal [12008]",2010,"Sexual assault, level 2, weapon or bodily harm [1320]",,
"Clark's Harbour, Nova Scotia, municipal [12008]",2010,"Sexual assault, level 1 [1330]",,
"Clark's Harbour, Nova Scotia, municipal [12008]",2010,Total sexual violations against children [130],,
"Clark's Harbour, Nova Scotia, municipal [12008]",2010,"Assault, level 3, aggravated [1410]",,
"Clark's Harbour, Nova Scotia, municipal [12008]",2010,"Assault, level 2, weapon or bodily harm [1420]",,
"Clark's Harbour, Nova Scotia, municipal [12008]",2010,"Assault, level 1 [1430]",,
"Clark's Harbour, Nova Scotia, municipal [12008]",2010,Total robbery [160],,
"Clark's Harbour, Nova Scotia, municipal [12008]",2010,Total breaking and entering [210],,
"Clark's Harbour, Nova Scotia, municipal [12008]",2010,Total theft of motor vehicle [220],,
"Clark's Harbour, Nova Scotia, municipal [12008]",2010,Total impaired driving [910],,
"Clark's Harbour, Nova Scotia, municipal [12008]",2010,Total Drug violations [401],,
"Clark's Harbour, Nova Scotia, municipal [12008]",2010,"Possession, cocaine [4120]",,
"Clark's Harbour, Nova Scotia, municipal [12008]",2010,"Total, possession, other Controlled Drugs and Substances Act drugs [410]",,
"Clark's Harbour, Nova Scotia, municipal [12008]",2010,"Total cannabis, trafficking, production or distribution (pre-legalization) [420]",,
"Clark's Harbour, Nova Scotia, municipal [12008]",2010,"Total cocaine, trafficking, production or distribution [430]",,
"Clark's Harbour, Nova Scotia, municipal [12008]",2010,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution [440]",,
"Colchester County, Nova Scotia, Royal Canadian Mounted Police, rural [12009]",2010,Homicide [110],0,0
"Colchester County, Nova Scotia, Royal Canadian Mounted Police, rural [12009]",2010,Attempted murder [1210],0,0
"Colchester County, Nova Scotia, Royal Canadian Mounted Police, rural [12009]",2010,"Sexual assault, level 3, aggravated [1310]",0,0
"Colchester County, Nova Scotia, Royal Canadian Mounted Police, rural [12009]",2010,"Sexual assault, level 2, weapon or bodily harm [1320]",0,0
"Colchester County, Nova Scotia, Royal Canadian Mounted Police, rural [12009]",2010,"Sexual assault, level 1 [1330]",8,20.61
"Colchester County, Nova Scotia, Royal Canadian Mounted Police, rural [12009]",2010,Total sexual violations against children [130],1,2.58
"Colchester County, Nova Scotia, Royal Canadian Mounted Police, rural [12009]",2010,"Assault, level 3, aggravated [1410]",1,2.58
"Colchester County, Nova Scotia, Royal Canadian Mounted Police, rural [12009]",2010,"Assault, level 2, weapon or bodily harm [1420]",20,51.53
"Colchester County, Nova Scotia, Royal Canadian Mounted Police, rural [12009]",2010,"Assault, level 1 [1430]",114,293.72
"Colchester County, Nova Scotia, Royal Canadian Mounted Police, rural [12009]",2010,Total robbery [160],4,10.31
"Colchester County, Nova Scotia, Royal Canadian Mounted Police, rural [12009]",2010,Total breaking and entering [210],173,445.73
"Colchester County, Nova Scotia, Royal Canadian Mounted Police, rural [12009]",2010,Total theft of motor vehicle [220],47,121.09
"Colchester County, Nova Scotia, Royal Canadian Mounted Police, rural [12009]",2010,Total impaired driving [910],243,626.08
"Colchester County, Nova Scotia, Royal Canadian Mounted Police, rural [12009]",2010,Total Drug violations [401],116,298.87
"Colchester County, Nova Scotia, Royal Canadian Mounted Police, rural [12009]",2010,"Possession, cocaine [4120]",4,10.31
"Colchester County, Nova Scotia, Royal Canadian Mounted Police, rural [12009]",2010,"Total, possession, other Controlled Drugs and Substances Act drugs [410]",7,18.04
"Colchester County, Nova Scotia, Royal Canadian Mounted Police, rural [12009]",2010,"Total cannabis, trafficking, production or distribution (pre-legalization) [420]",35,90.18
"Colchester County, Nova Scotia, Royal Canadian Mounted Police, rural [12009]",2010,"Total cocaine, trafficking, production or distribution [430]",10,25.76
"Colchester County, Nova Scotia, Royal Canadian Mounted Police, rural [12009]",2010,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution [440]",6,15.46
"Pictou County, Nova Scotia, Royal Canadian Mounted Police, rural [12010]",2010,Homicide [110],0,0
"Pictou County, Nova Scotia, Royal Canadian Mounted Police, rural [12010]",2010,Attempted murder [1210],0,0
"Pictou County, Nova Scotia, Royal Canadian Mounted Police, rural [12010]",2010,"Sexual assault, level 3, aggravated [1310]",0,0
