OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_DOY,DIVISION,HOMICIDE_TYPE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,x,y
93,GO-2005760646,6/12/2005 5:00:00 AM,2005,June,12,Sunday,163,D55,Shooting,062,East End-Danforth (62),062,East End-Danforth (62),-79.2949410564993,43.6897218239441,-8827072.46083656,5417550.80395971
94,GO-20051000509,6/24/2005 5:00:00 AM,2005,June,24,Friday,175,D31,Shooting,024,Black Creek (24),024,Black Creek (24),-79.5218381130854,43.766795984527,-8852330.52568429,5429423.96454173
95,GO-2005834756,6/25/2005 5:00:00 AM,2005,June,25,Saturday,176,D32,Stabbing,032,Englemount-Lawrence (32),032,Englemount-Lawrence (32),-79.4408745552873,43.7208448565547,-8843317.70363492,5422343.42235969
96,GO-20051086009,6/29/2005 5:00:00 AM,2005,June,29,Wednesday,180,D14,Shooting,172,Dovercourt Village (172),093,Dovercourt-Wallace Emerson-Junction (93),-79.4381393233152,43.6664244182413,-8843013.21900148,5413964.87683231
97,GO-2005884293,7/6/2005 5:00:00 AM,2005,July,6,Wednesday,187,D23,Shooting,022,Humbermede (22),022,Humbermede (22),-79.5686105800728,43.7462432807353,-8857537.21289388,5426256.35657424
98,GO-20051150352,7/15/2005 5:00:00 AM,2005,July,15,Friday,196,D42,Other,136,West Hill (136),136,West Hill (136),-79.1916658058727,43.769814893613,-8815575.91259501,5429889.33416483
99,GO-2005863854,7/17/2005 5:00:00 AM,2005,July,17,Sunday,198,D41,Other,121,Oakridge (121),121,Oakridge (121),-79.2725269740611,43.694624228481,-8824577.33664172,5418305.55732951
100,GO-20051059962,7/19/2005 5:00:00 AM,2005,July,19,Tuesday,200,D12,Shooting,111,Rockcliffe-Smythe (111),111,Rockcliffe-Smythe (111),-79.4820865989168,43.6806039127456,-8847905.40738755,5416147.21302506
101,GO-20051070618,7/20/2005 5:00:00 AM,2005,July,20,Wednesday,201,D33,Other,149,Parkwoods-O'Connor Hills (149),045,Parkwoods-Donalda (45),-79.32581835225,43.7433843191158,-8830509.70570435,5425815.81601945
102,GO-20051135001,7/30/2005 5:00:00 AM,2005,July,30,Saturday,211,D31,Shooting,032,Englemount-Lawrence (32),032,Englemount-Lawrence (32),-79.4410149550129,43.7201236567061,-8843333.33289143,5422232.33700715
103,GO-20051033503,7/30/2005 5:00:00 AM,2005,July,30,Saturday,211,D42,Shooting,148,East L'Amoreaux (148),117,L'Amoreaux (117),-79.315753889819,43.7967683979221,-8829389.3349194,5434045.30118791
104,GO-20051148137,7/31/2005 5:00:00 AM,2005,July,31,Sunday,212,D52,Shooting,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),-79.3801621473433,43.6576948967987,-8836559.22929152,5412621.5910243
105,GO-20051041793,8/3/2005 5:00:00 AM,2005,August,3,Wednesday,215,D23,Shooting,002,Mount Olive-Silverstone-Jamestown (2),002,Mount Olive-Silverstone-Jamestown (2),-79.5826146720579,43.7339676789198,-8859096.14128434,5424364.94449763
106,GO-20051102449,8/5/2005 5:00:00 AM,2005,August,5,Friday,217,D42,Shooting,147,L'Amoreaux West (147),117,L'Amoreaux (117),-79.3317258792917,43.7985155921077,-8831167.32860184,5434314.76611999
107,GO-20051068304,8/7/2005 5:00:00 AM,2005,August,7,Sunday,219,D51,Shooting,071,Cabbagetown-South St.James Town (71),071,Cabbagetown-South St.James Town (71),-79.3755079531152,43.665702304806,-8836041.12678539,5413853.75173889
108,GO-20051068304,8/7/2005 5:00:00 AM,2005,August,7,Sunday,219,D51,Shooting,071,Cabbagetown-South St.James Town (71),071,Cabbagetown-South St.James Town (71),-79.3755079531152,43.665702304806,-8836041.12678539,5413853.75173889
109,GO-2005985817,8/13/2005 5:00:00 AM,2005,August,13,Saturday,225,D23,Shooting,008,Humber Heights-Westmount (8),008,Humber Heights-Westmount (8),-79.520580764586,43.6958175755528,-8852190.55834518,5418489.28947412
110,GO-20051156816,8/15/2005 5:00:00 AM,2005,August,15,Monday,227,D51,Shooting,071,Cabbagetown-South St.James Town (71),071,Cabbagetown-South St.James Town (71),-79.3746654542882,43.6670941062091,-8835947.34022572,5414067.93550085
111,GO-20051072514,8/16/2005 5:00:00 AM,2005,August,16,Tuesday,228,D54,Shooting,044,Flemingdon Park (44),044,Flemingdon Park (44),-79.3349477263428,43.7187265523928,-8831525.98296929,5422017.14682696
112,GO-2005117846,8/18/2005 5:00:00 AM,2005,August,18,Thursday,230,D41,Other,156,Bendale-Glen Andrew (156),127,Bendale (127),-79.2666436424975,43.7581383642527,-8823922.40711931,5428089.5087398
113,GO-20051183577,8/20/2005 5:00:00 AM,2005,August,20,Saturday,232,D22,Other,018,New Toronto (18),018,New Toronto (18),-79.5081953686041,43.6016825297574,-8850811.82236919,5404007.13317463
114,GO-20051189864,8/25/2005 5:00:00 AM,2005,August,25,Thursday,237,D42,Shooting,139,Scarborough Village (139),139,Scarborough Village (139),-79.2205457818658,43.7428339852155,-8818790.81681745,5425731.01687135
115,GO-2005761120,8/30/2005 5:00:00 AM,2005,August,30,Tuesday,242,D31,Shooting,025,Glenfield-Jane Heights (25),025,Glenfield-Jane Heights (25),-79.5094930875772,43.739131236219,-8850956.28378746,5425160.49277462
116,GO-20051178414,8/31/2005 5:00:00 AM,2005,August,31,Wednesday,243,D51,Other,073,Moss Park (73),073,Moss Park (73),-79.3700991535413,43.6561628952666,-8835439.02203491,5412385.86896232
117,GO-20051389771,9/6/2005 5:00:00 AM,2005,September,6,Tuesday,249,D33,Stabbing,042,Banbury-Don Mills (42),042,Banbury-Don Mills (42),-79.3428565253099,43.7405414085087,-8832406.38644676,5425377.76979595
118,GO-20051101797,9/8/2005 5:00:00 AM,2005,September,8,Thursday,251,D31,Shooting,028,Rustic (28),028,Rustic (28),-79.5013127460308,43.704970651103,-8850045.6522815,5419898.65137215
119,GO-2005739598,9/9/2005 5:00:00 AM,2005,September,9,Friday,252,D14,Shooting,163,Fort York-Liberty Village (163),082,Niagara (82),-79.3992022335978,43.6352447743485,-8838678.76208103,5409167.89588387
120,GO-20051096519,9/10/2005 5:00:00 AM,2005,September,10,Saturday,253,D31,Shooting,024,Black Creek (24),024,Black Creek (24),-79.5147305161365,43.7672126887093,-8851539.31160549,5429488.19872872
121,GO-20051203047,9/13/2005 5:00:00 AM,2005,September,13,Tuesday,256,D31,Shooting,025,Glenfield-Jane Heights (25),025,Glenfield-Jane Heights (25),-79.516330912532,43.7518922811192,-8851717.46698459,5427126.87897427
122,GO-20051156513,9/16/2005 5:00:00 AM,2005,September,16,Friday,259,D23,Shooting,005,Elms-Old Rexdale (5),005,Elms-Old Rexdale (5),-79.5493287722058,43.7272962290426,-8855390.77184574,5423337.17698402
123,GO-20051139553,9/16/2005 5:00:00 AM,2005,September,16,Friday,259,D14,Shooting,085,South Parkdale (85),085,South Parkdale (85),-79.4347125217612,43.6374559839486,-8842631.74925911,5409508.00800243
